mma_codigo,mma_codMunicipio,mma_anio,mma_casos
1,41006,2011,1
2,41013,2011,0
3,41016,2011,0
4,41020,2011,0
5,41026,2011,0
6,41078,2011,0
7,41132,2011,0
8,41206,2011,0
9,41244,2011,0
10,41298,2011,0
11,41306,2011,1
12,41319,2011,0
13,41349,2011,0
14,41357,2011,0
15,41359,2011,0
16,41378,2011,0
17,41396,2011,1
18,41483,2011,0
19,41001,2011,1
20,41503,2011,0
21,41518,2011,0
22,41524,2011,0
23,41530,2011,0
24,41548,2011,0
25,41551,2011,2
26,41615,2011,0
27,41660,2011,0
28,41668,2011,0
29,41676,2011,1
30,41770,2011,0
31,41791,2011,0
32,41799,2011,0
33,41801,2011,0
34,41797,2011,0
35,41807,2011,1
36,41872,2011,0
37,41885,2011,0
38,41006,2009,1
39,41013,2009,1
40,41016,2009,0
41,41020,2009,0
42,41026,2009,0
43,41078,2009,0
44,41132,2009,0
45,41206,2009,0
46,41244,2009,0
47,41298,2009,0
48,41306,2009,0
49,41319,2009,1
50,41349,2009,0
51,41357,2009,0
52,41359,2009,0
53,41378,2009,0
54,41396,2009,0
55,41483,2009,1
56,41001,2009,0
57,41503,2009,0
58,41518,2009,0
59,41524,2009,0
60,41530,2009,0
61,41548,2009,0
62,41551,2009,2
63,41615,2009,0
64,41660,2009,0
65,41668,2009,0
66,41676,2009,1
67,41770,2009,0
68,41791,2009,0
69,41799,2009,0
70,41801,2009,0
71,41797,2009,0
72,41807,2009,1
73,41872,2009,0
74,41885,2009,0
75,41006,2008,1
76,41013,2008,0
77,41016,2008,0
78,41020,2008,0
79,41026,2008,0
80,41078,2008,0
81,41132,2008,0
82,41206,2008,0
83,41244,2008,0
84,41298,2008,0
85,41306,2008,1
86,41319,2008,0
87,41349,2008,0
88,41357,2008,0
89,41359,2008,0
90,41378,2008,0
91,41396,2008,1
92,41483,2008,0
93,41001,2008,1
94,41503,2008,0
95,41518,2008,0
96,41524,2008,0
97,41530,2008,0
98,41548,2008,0
99,41551,2008,2
100,41615,2008,0
101,41660,2008,0
102,41668,2008,0
103,41676,2008,1
104,41770,2008,0
105,41791,2008,0
106,41799,2008,0
107,41801,2008,0
108,41797,2008,0
109,41807,2008,1
110,41872,2008,0
111,41885,2008,0
112,41006,2006,1
113,41013,2006,0
114,41016,2006,0
115,41020,2006,0
116,41026,2006,0
117,41078,2006,0
118,41132,2006,0
119,41206,2006,0
120,41244,2006,0
121,41298,2006,2
122,41306,2006,0
123,41319,2006,0
124,41349,2006,0
125,41357,2006,0
126,41359,2006,0
127,41378,2006,0
128,41396,2006,3
129,41483,2006,0
130,41001,2006,3
131,41503,2006,1
132,41518,2006,0
133,41524,2006,0
134,41530,2006,0
135,41548,2006,0
136,41551,2006,0
137,41615,2006,0
138,41660,2006,0
139,41668,2006,2
140,41676,2006,0
141,41770,2006,0
142,41791,2006,0
143,41799,2006,0
144,41801,2006,0
145,41797,2006,0
146,41807,2006,0
147,41872,2006,0
148,41885,2006,0
149,41006,2004,1
150,41013,2004,0
151,41016,2004,0
152,41020,2004,0
153,41026,2004,0
154,41078,2004,0
155,41132,2004,0
156,41206,2004,0
157,41244,2004,0
158,41298,2004,2
159,41306,2004,0
160,41319,2004,0
161,41349,2004,0
162,41357,2004,0
163,41359,2004,0
164,41378,2004,0
165,41396,2004,3
166,41483,2004,0
167,41001,2004,3
168,41503,2004,1
169,41518,2004,0
170,41524,2004,0
171,41530,2004,0
172,41548,2004,0
173,41551,2004,0
174,41615,2004,0
175,41660,2004,0
176,41668,2004,2
177,41676,2004,0
178,41770,2004,0
179,41791,2004,0
180,41799,2004,0
181,41801,2004,0
182,41797,2004,0
183,41807,2004,0
184,41872,2004,0
185,41885,2004,0
