vihm_codigo,vihm_anio,vihm_mes,vihm_numeroCasos
1,2016,1,7
2,2016,2,12
3,2016,3,12
4,2016,4,11
5,2016,5,15
6,2016,6,19
7,2016,7,22
8,2016,8,23
9,2016,9,8
10,2016,10,16
11,2016,11,21
12,2016,12,27
13,2014,1,11
14,2014,2,14
15,2014,3,11
16,2014,4,7
17,2014,5,6
18,2014,6,20
19,2014,7,11
20,2014,8,20
21,2014,9,22
22,2014,10,10
23,2014,11,16
24,2014,12,10
25,2010,1,9
26,2010,2,9
27,2010,3,5
28,2010,4,5
29,2010,5,9
30,2010,6,6
31,2010,7,4
32,2010,8,9
33,2010,9,11
34,2010,10,9
35,2010,11,5
36,2010,12,13
37,2009,1,2
38,2009,2,9
39,2009,3,18
40,2009,4,2
41,2009,5,13
42,2009,6,10
43,2009,7,14
44,2009,8,8
45,2009,9,11
46,2009,10,8
47,2009,11,8
48,2009,12,11
49,2008,1,2
50,2008,2,2
51,2008,3,2
52,2008,4,10
53,2008,5,25
54,2008,6,8
55,2008,7,15
56,2008,8,11
57,2008,9,3
58,2008,10,7
59,2008,11,3
60,2008,12,2
61,2007,1,12
62,2007,2,10
63,2007,3,4
64,2007,4,8
65,2007,5,5
66,2007,6,9
67,2007,7,13
68,2007,8,4
69,2007,9,15
70,2007,10,12
71,2007,11,2
72,2007,12,12
73,2006,1,9
74,2006,2,5
75,2006,3,8
76,2006,4,11
77,2006,5,13
78,2006,6,5
79,2006,7,12
80,2006,8,11
81,2006,9,8
82,2006,10,5
83,2006,11,13
84,2006,12,11
85,2005,1,9
86,2005,2,5
87,2005,3,8
88,2005,4,11
89,2005,5,13
90,2005,6,5
91,2005,7,12
92,2005,8,11
93,2005,9,8
94,2005,10,5
95,2005,11,13
96,2005,12,11
97,2004,1,8
98,2004,2,5
99,2004,3,5
100,2004,4,8
101,2004,5,14
102,2004,6,14
103,2004,7,10
104,2004,8,0
105,2004,9,11
106,2004,10,18
107,2004,11,14
108,2004,12,7
