vihr_codigo,vihr_anio,vihr_rango,vihr_numeroCasos
1,2016,41,0
2,2016,42,13
3,2016,43,79
4,2016,44,43
5,2016,45,35
6,2016,46,17
7,2016,47,7
8,2014,41,2
9,2014,42,12
10,2014,43,75
11,2014,44,33
12,2014,45,21
13,2014,48,15
14,2013,41,4
15,2013,42,7
16,2013,43,67
17,2013,44,37
18,2013,45,26
19,2013,48,23
20,2010,41,0
21,2010,42,8
22,2010,43,26
23,2010,44,26
24,2010,45,17
25,2010,48,17
26,2009,41,2
27,2009,42,2
28,2009,43,37
29,2009,44,35
30,2009,45,20
31,2009,48,18
32,2008,41,2
33,2008,42,4
34,2008,43,32
35,2008,44,22
36,2008,45,21
37,2008,48,9
38,2008,49,0
39,2007,41,0
40,2007,42,6
41,2007,43,32
42,2007,44,29
43,2007,45,24
44,2007,48,8
45,2007,49,7
46,2006,41,5
47,2006,42,0
48,2006,43,41
49,2006,44,27
50,2006,45,20
51,2006,48,12
52,2006,49,6
53,2004,41,5
54,2004,42,0
55,2004,43,41
56,2004,44,27
57,2004,45,20
58,2004,48,12
59,2004,49,6
60,2004,41,1
61,2004,42,2
62,2004,43,38
63,2004,44,35
64,2004,45,22
65,2004,48,12
66,2004,49,4
