ined_codigo,ined_municipio,ined_codDane,ined_nombre,ined_tipo_institucion,ined_area,ined_direccion,ined_lati,ined_long
1,,,Universidad Surcolombiana,1,,,,
2,,,Universidad Cooperativa de Colombia,2,,,,
3,,,Universidad Antonio Nariño,2,,,,
4,,,Corporación Universitaria del Huila CORHUILA,2,,,,
5,,,Corporación Unificada Nacional CUN,2,,,,
6,,,Corporación Educativa Francisco José de Caldas,2,,,,
7,,,Corporación Universitaria Iberoamericana,2,,,,
8,,,Universidad Católica de Colombia,2,,,,
9,,,Universidad Nacional Abierta y a Distancia UNAD,2,,,,
10,,,Universidad Santo Tomas,2,,,,
11,,,Escuela Superior de Administración Pública (ESAP),2,,,,
12,,,Centro de Formación Empresarial (CEFE),2,,,,
13,,,Fundación Universitaria Navarra,2,,,,
14,41615,,COLOMBO AMERICAN SCHOOL,2,,,,
15,41001,,COLEGIO COLOMBO INGLES DEL HUILA ,2,,,,
16,41001,,ASPAEN GIMNASIO LA FRAGUA,2,,,,
17,41001,,ASPAEN GIMNASIO YUMANA,2,,,,
18,41001,,COLEGIO CLARETIANO,2,,,,
19,41001,,COLEGIO DE LA PRESENTACION,2,,,,
20,41001,,COLEGIO SALESIANO SAN MEDARDO,2,,,,
21,41001,,COLEGIO  ANGLOCANADIENSE DE NEIVA,2,,,,
22,41001,,COLEGIO MARIA  AUXILIADORA  ALTICO,2,,,,
23,41001,,INSTITUTO DE FORMACIÓN SCOUT JOSÉ JULIÁN MARTÍ,2,,,,
24,41001,,COLEGIO RAFAEL POMBO ,2,,,,
25,41668,,COLEGIO COOPERATIVO SAN AGUSTIN,2,,,,
26,41551,,COLEGIO LA PRESENTACION,2,,,,
27,41001,,COLEGIO EMPRESARIAL DE LOS ANDES,2,,,,
28,41298,,COLEGIO  COOPERATIVO LA PRESENTACION ,2,,,,
29,41001,,CLARETIANO JORNADA ADICIONAL OFICIAL,1,,,,
30,41524,,COLEGIO COMFAMILIAR LOS LAGOS,2,,,,
31,41001,,COLEGIO  ADVENTISTA BALUARTE INTERAMERICANO CABI,2,,,,
32,41001,,COLEGIO SANTA CLARA DE HUNGRIA,2,,,,
33,41551,,INSTITUCIÓN SAN JUAN DE LABOYOS,2,,,,
34,41615,,COLEGIO COOPERATIVO CAMPESTRE,2,,,,
35,41551,,INSTITUCIÓN EDUCATIVA MUNICIPAL NACIONAL,1,,,,
36,41001,,COLEGIO INST DE EXCELENCIA HUMANA Y ACAD - IDEHA,2,,,,
37,41298,,GIMNASIO MINUTO DE DIOS,2,,,,
38,41524,,INSTITUCIÓN EDUCATIVA PROMOCION SOCIAL,1,,,,
39,41306,,INSTITUCIÓN EDUCATIVA ESCUELA NORMAL SUPERIOR,1,,,,
40,41001,,COLEGIO GIMNASIO MODERNO,2,,,,
41,41001,,COLEGIO PIAGET,2,,,,
42,41001,,COLEGIO HISPANO INGLES,2,,,,
43,41001,,INSTITUTO TÉCNICO SUPERIOR,1,,,,
44,41551,,INSTITUCION EDUCATIVA JESUS MARIA BASTO,,,,,
45,41001,,COLEGIO COLOMBO SUECO,,,,,
46,41020,,COLEGIO JUAN XXIII,,,,,
47,41807,,COLEGIO LA ANUNCIACION,,,,,
48,41001,,INSTITUCION EDUCATIVA HUMBERTO TAFUR CHARRY,,,,,
49,41001,,COLEGIO SAN MIGUEL ARCANGEL DEL BIENESTAR SOCIAL,,,,,
50,41668,,COLEGIO NACIONAL LAUREANO GOMEZ,,,,,
51,41668,,COLEGIO COOPERATIVO SAGRADO CORAZÓN DE JESÚS,,,,,
52,41001,,INEM JULIÁN MOTTA SALAS,,,,,
53,41001,,Instituo Tulia Rosa Espinosa ITRE,,,,,
54,41001,,Liceo Universidad Cooperativa de Colombia,,,,,
55,41001,,Pontificio Colegio Autonomo Cristo Rey,,,,,
56,41006,,Colegio Municipal San Adolfo,,,,,
57,41016,,Colegio Municipal de Bachillerato Agropecuario de Aipe,,,,,
58,41298,,Colegio Departamental Jenaro Diaz Jordan,,,,,
59,41306,,Colegio Nacional Ismael Perdomo Borrero,,,,,
