ani_codigo,ani_nombre
0,1990
1,1991
2,1992
3,1993
4,1994
5,1995
6,1996
7,1997
8,1998
9,1999
10,2000
11,2001
12,2002
13,2003
14,2004
15,2005
16,2006
17,2007
18,2008
19,2009
20,2010
21,2011
22,2012
23,2013
24,2014
25,2015
26,2016
27,2017
28,2018
29,2019
30,2020
31,2021
32,2022
33,2023
34,2024
35,2025
36,2026
37,2027
38,2028
39,2029
40,2030
41,2031
42,2032
43,2033
44,2034
45,2035
46,2036
47,2037
48,2038
49,2039
50,2040
51,2041
52,2042
53,2043
54,2044
55,2045
56,2046
57,2047
58,2048
59,2049
60,2050
61,2051
62,2052
63,2053
64,2054
65,2055
66,2056
67,2057
68,2058
69,2059
70,2060
71,2061
72,2062
73,2063
74,2064
75,2065
76,2066
77,2067
78,2068
79,2069
80,2070
81,2071
82,2072
83,2073
84,2074
85,2075
86,2076
87,2077
88,2078
89,2079
90,2080
91,2081
92,2082
93,2083
94,2084
95,2085
96,2086
97,2087
98,2088
99,2089
100,2090
101,2091
102,2092
103,2093
104,2094
105,2095
106,2096
107,2097
108,2098
109,2099
110,2100
111,2101
112,2102
113,2103
114,2104
115,2105
116,2106
117,2107
118,2108
119,2109
120,2110
121,2111
122,2112
123,2113
124,2114
125,2115
126,2116
127,2117
128,2118
129,2119
130,2120
131,2121
132,2122
133,2123
134,2124
135,2125
136,2126
137,2127
138,2128
139,2129
140,2130
141,2131
142,2132
143,2133
144,2134
145,2135
146,2136
147,2137
148,2138
149,2139
150,2140
151,2141
152,2142
153,2143
154,2144
155,2145
156,2146
157,2147
158,2148
159,2149
160,2150
161,2151
162,2152
163,2153
164,2154
165,2155
166,2156
167,2157
168,2158
169,2159
170,2160
171,2161
172,2162
173,2163
174,2164
175,2165
176,2166
177,2167
178,2168
179,2169
180,2170
181,2171
182,2172
183,2173
184,2174
185,2175
186,2176
187,2177
188,2178
189,2179
190,2180
191,2181
192,2182
193,2183
194,2184
195,2185
196,2186
197,2187
198,2188
199,2189
200,2190
1990,1990
1991,1991
1992,1992
1993,1993
1994,1994
1995,1995
1996,1996
1997,1997
1998,1998
1999,1999
2000,2000
2001,2001
2002,2002
2003,2003
2004,2004
2005,2005
2006,2006
2007,2007
2008,2008
2009,2009
2010,2010
2011,2011
2012,2012
2013,2013
2014,2014
2015,2015
2016,2016
2017,2017
2018,2018
2019,2019
2020,2020
2021,2021
2022,2022
2023,2023
2024,2024
2025,2025
2026,2026
2027,2027
2028,2028
2029,2029
2030,2030
2031,2031
2032,2032
2033,2033
2034,2034
2035,2035
2036,2036
2037,2037
2038,2038
2039,2039
2040,2040
2041,2041
2042,2042
2043,2043
2044,2044
2045,2045
2046,2046
2047,2047
2048,2048
2049,2049
2050,2050
2051,2051
2052,2052
2053,2053
2054,2054
2055,2055
2056,2056
2057,2057
2058,2058
2059,2059
2060,2060
2061,2061
2062,2062
2063,2063
2064,2064
2065,2065
2066,2066
2067,2067
2068,2068
2069,2069
2070,2070
2071,2071
2072,2072
2073,2073
2074,2074
2075,2075
2076,2076
2077,2077
2078,2078
2079,2079
2080,2080
2081,2081
2082,2082
2083,2083
2084,2084
2085,2085
2086,2086
2087,2087
2088,2088
2089,2089
2090,2090
2091,2091
2092,2092
2093,2093
2094,2094
2095,2095
2096,2096
2097,2097
2098,2098
2099,2099
2100,2100
2101,2101
2102,2102
2103,2103
2104,2104
2105,2105
2106,2106
2107,2107
2108,2108
2109,2109
2110,2110
2111,2111
2112,2112
2113,2113
2114,2114
2115,2115
2116,2116
2117,2117
2118,2118
2119,2119
2120,2120
2121,2121
2122,2122
2123,2123
2124,2124
2125,2125
2126,2126
2127,2127
2128,2128
2129,2129
2130,2130
2131,2131
2132,2132
2133,2133
2134,2134
2135,2135
2136,2136
2137,2137
2138,2138
2139,2139
2140,2140
2141,2141
2142,2142
2143,2143
2144,2144
2145,2145
2146,2146
2147,2147
2148,2148
2149,2149
2150,2150
2151,2151
2152,2152
2153,2153
2154,2154
2155,2155
2156,2156
2157,2157
2158,2158
2159,2159
2160,2160
2161,2161
2162,2162
2163,2163
2164,2164
2165,2165
2166,2166
2167,2167
2168,2168
2169,2169
2170,2170
2171,2171
