mun_codigo,mun_nombre,mun_codDepartamento
41006,Acevedo,41
41013,Agrado,41
41016,Aipe,41
41020,Algeciras,41
41026,Altamira,41
41078,Baraya,41
41132,Campoalegre,41
41206,Colombia,41
41244,Elias,41
41298,Garzón,41
41306,Gigante,41
41319,Guadalupe,41
41349,Hobo,41
41357,Iquira,41
41359,Isnos,41
41378,La Argentina,41
41396,La Plata,41
41483,Nátaga,41
41001,Neiva,41
41503,Oporapa,41
41518,Paicol,41
41524,Palermo,41
41530,Palestina,41
41548,Pital,41
41551,Pitalito,41
41615,Rivera,41
41660,Saladoblanco,41
41668,San Agustín,41
41676,Santa Maria,41
41770,Suaza,41
41791,Tarqui,41
41799,Tello,41
41801,Teruel,41
41797,Tesalia,41
41807,Timaná,41
41872,Villavieja,41
41885,Yaguará,41
